"Add gift card","Add gift card"
"New Payment","New Payment"
"You already have a coupon for a discount. The new coupon will delete the old one","You already have a coupon for a discount. The new coupon will delete the old one"
"Scan QR code","Scan QR code"
"OR","OR"
"Gift Card number","Gift Card number"
"Save","Save"
"Payments","Payments"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"Original Price","Original Price"
"Recommended combinations","Recommended combinations"
"Please type the letters below","Please type the letters below"
"Reload captcha","Reload captcha"
"Reload","Reload"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Captcha is case sensitive."
"Visible on desktop","Visible on desktop"
"Visible on mobile","Visible on mobile"
"Compare sort order","Compare sort order"
"Position of attribute in compare block.","Position of attribute in compare block."
"All","All"
"Desktop full","Desktop full"
"Desktop short","Desktop short"
"Desktop hidden","Desktop hidden"
"Load More","Load More"
"We can't find products matching the selection.","We can't find products matching the selection."
"NEW","NEW"
"HIT","HIT"
"Sale","Sale"
"Discount","Discount"
"Pre-Order","Pre-Order"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Qty","Qty"
"label","label"
"Description","Description"
"Compare e-readers","Compare e-readers"
"Compare Products","Compare Products"
"Product","Product"
"Add to Wish List","Add to Wish List"
"Remove","Remove"
"Show all","Show all"
"You have no items to compare.","You have no items to compare."
"See details","See details"
"You may be interested in","You may be interested in"
"Related","Related"
"Saved for later","Saved for later"
"It looks like the current card has already been saved to your account","It looks like the current card has already been saved to your account"
"Your card has been saved. You can manage it in your Personal Area","Your card has been saved. You can manage it in your Personal Area"
"Sorry, but something went wrong. We can't save your card right now.","Sorry, but something went wrong. We can't save your card right now."
"Learn More","Learn More"
" Item(s)"," Item(s)"
"Sub total: ","Sub total: "
"1 Click purchase","1 Click purchase"
"Checkout","Checkout"
"or","or"
"Login and checkout","Login and checkout"
"Checkout as a guest","Checkout as a guest"
"Pay with","Pay with"
"See all","See all"
"Pre Order Note","Pre Order Note"
"Writer name","Writer name"
"Save for later","Save for later"
"Electronic books can not be returned","Electronic books can not be returned"
"Dismiss","Dismiss"
"Shopping Cart Items","Shopping Cart Items"
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
"Item","Item"
"Price","Price"
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Subtotal","Subtotal"
"See more","See more"
"You have no saved items for later.","You have no saved items for later."
"CMS block with identifier %1 not exist","CMS block with identifier %1 not exist"
"FAQ","FAQ"
"About Us","About Us"
"Support","Support"
"Privacy policy","Privacy policy"
"Contact Us","Contact Us"
"PB Cloud","PB Cloud"
